origin_group,year,compartment,count_proj,count_obs,error,ape
Japanese,2020,D,3.158782922523101,4,-0.841217077476899,0.1682434154953798
Japanese,2020,H_D,9.515899836643504,8,1.515899836643504,0.16843331518261154
Japanese,2020,H_A,0.8339156140823033,2,-1.1660843859176966,0.38869479530589884
Japanese,2020,P_D,9.89468532751781,6,3.8946853275178093,0.5563836182168299
Japanese,2020,P_A,0.0,1,-1.0,0.5
Hindu,2020,D,3.328693240902774,6,-2.671306759097226,0.3816152512996037
Hindu,2020,H_D,13.805171208885442,14,-0.1948287911145581,0.012988586074303872
Hindu,2020,P_D,9.20193801934758,4,5.20193801934758,1.040387603869516
Hindu,2020,P_A,0.19753086419753094,2,-1.8024691358024691,0.6008230452674898
Islamic,2020,D,6.268366740508825,5,1.2683667405088253,0.21139445675147087
Islamic,2020,H_D,14.482138737344252,10,4.482138737344252,0.40746715794038657
Islamic,2020,H_A,0.8831701774935827,2,-1.1168298225064173,0.3722766075021391
Islamic,2020,P_D,0.0,1,-1.0,0.5
Islamic,2020,P_A,0.0,2,-2.0,0.6666666666666666
Other Western,2020,D,0.7676348273815097,1,-0.23236517261849032,0.11618258630924516
Other Western,2020,H_D,15.100677929820135,11,4.100677929820135,0.3417231608183446
Other Western,2020,P_D,0.0,3,-3.0,0.75
Other Civilizations,2020,D,1.9442682265042681,5,-3.055731773495732,0.5092886289159554
Other Civilizations,2020,H_D,9.20036068184282,8,1.2003606818428203,0.1333734090936467
Other Civilizations,2020,H_A,0.25786211783827906,1,-0.7421378821617209,0.37106894108086047
Other Civilizations,2020,P_D,9.552158325526797,5,4.552158325526797,0.7586930542544662
United States,2021,D,0.35572755067089795,1,-0.6442724493291021,0.32213622466455105
United States,2021,A,0.8421774963164702,2,-1.15782250368353,0.3859408345611766
United States,2021,H_D,25.48234073333018,14,11.48234073333018,0.765489382222012
United States,2021,H_A,2.7481597319767985,6,-3.2518402680232015,0.4645486097176002
United States,2021,P_D,13.299790921386247,12,1.299790921386247,0.09998391702971131
United States,2021,P_A,3.693772313190205,9,-5.306227686809795,0.5306227686809795
Anglosphere ex-US,2021,D,1.4156122002258573,2,-0.5843877997741427,0.19479593325804756
Anglosphere ex-US,2021,H_D,8.099256227680026,10,-1.9007437723199736,0.17279488839272486
Anglosphere ex-US,2021,H_A,2.0203611853969328,4,-1.9796388146030672,0.39592776292061344
Anglosphere ex-US,2021,P_D,11.638977725940268,6,5.6389777259402685,0.8055682465628955
Anglosphere ex-US,2021,P_A,5.53677185232714,4,1.5367718523271403,0.3073543704654281
Continental Europe,2021,D,2.071625060202149,7,-4.928374939797851,0.6160468674747314
Continental Europe,2021,A,3.769856894428499,1,2.769856894428499,1.3849284472142496
Continental Europe,2021,H_D,20.268046267933773,17,3.268046267933773,0.1815581259963207
Continental Europe,2021,H_A,2.0,3,-1.0,0.25
Continental Europe,2021,P_D,19.209713771981463,13,6.209713771981463,0.4435509837129616
Continental Europe,2021,P_A,1.0,5,-4.0,0.6666666666666666
Sinic,2021,D,6.7075543928666415,8,-1.2924456071333585,0.14360506745926205
Sinic,2021,A,0.16293495056265256,1,-0.8370650494373475,0.41853252471867375
Sinic,2021,H_D,21.4924152201531,15,6.492415220153099,0.40577595125956867
Sinic,2021,H_A,1.6255395391477798,4,-2.3744604608522204,0.4748920921704441
Sinic,2021,P_D,12.574055897269826,11,1.574055897269826,0.1311713247724855
Sinic,2021,P_A,0.0,1,-1.0,0.5
Japanese,2021,D,2.8425752541783935,4,-1.1574247458216065,0.2314849491643213
Japanese,2021,H_D,9.12681547047321,8,1.1268154704732094,0.1252017189414677
Japanese,2021,H_A,0.8339156140823033,2,-1.1660843859176966,0.38869479530589884
Japanese,2021,P_D,10.671048979636495,6,4.671048979636495,0.6672927113766421
Japanese,2021,P_A,0.0,1,-1.0,0.5
Hindu,2021,D,2.700234975885385,5,-2.299765024114615,0.38329417068576915
Hindu,2021,H_D,13.261252032799709,13,0.26125203279970854,0.018660859485693466
Hindu,2021,P_D,10.573492415183212,6,4.573492415183212,0.6533560593118874
Hindu,2021,P_A,0.13168724279835398,2,-1.868312757201646,0.6227709190672154
Islamic,2021,D,6.14250527280328,5,1.1425052728032803,0.19041754546721337
Islamic,2021,H_D,15.256122627985384,9,6.256122627985384,0.6256122627985384
Islamic,2021,P_D,0.0,1,-1.0,0.5
Islamic,2021,P_A,0.0,5,-5.0,0.8333333333333334
Other Western,2021,D,0.6441535740446875,1,-0.35584642595531246,0.17792321297765623
Other Western,2021,H_D,15.60138826408974,11,4.60138826408974,0.3834490220074784
Other Western,2021,P_D,0.0,3,-3.0,0.75
Other Civilizations,2021,D,1.603600381302553,5,-3.3963996186974468,0.5660666031162411
Other Civilizations,2021,H_D,8.696134110972507,8,0.6961341109725065,0.07734823455250073
Other Civilizations,2021,H_A,0.24970221097497058,1,-0.7502977890250294,0.3751488945125147
Other Civilizations,2021,P_D,10.945599949538408,5,5.945599949538408,0.9909333249230681
United States,2022,D,0.22591319700226736,1,-0.7740868029977326,0.3870434014988663
United States,2022,A,0.6677579906394299,2,-1.33224200936057,0.4440806697868567
United States,2022,H_D,24.61694382220057,12,12.616943822200572,0.9705341401692748
United States,2022,H_A,2.5378957088560514,5,-2.4621042911439486,0.4103507151906581
United States,2022,P_D,14.254985108311692,14,0.25498510831169163,0.016999007220779443
United States,2022,P_A,4.178066368490283,10,-5.821933631509717,0.5292666937736107
Anglosphere ex-US,2022,D,1.2091756634630646,2,-0.7908243365369354,0.26360811217897845
Anglosphere ex-US,2022,H_D,7.444837884697123,10,-2.5551621153028767,0.23228746502753425
Anglosphere ex-US,2022,H_A,1.8237869399060214,3,-1.1762130600939786,0.29405326502349466
Anglosphere ex-US,2022,P_D,12.730601836455195,6,6.730601836455195,0.9615145480650279
Anglosphere ex-US,2022,P_A,5.874541214591643,5,0.8745412145916429,0.14575686909860716
Continental Europe,2022,D,1.5186582067338474,7,-5.481341793266153,0.6851677241582691
Continental Europe,2022,A,3.9733519872242393,1,2.9733519872242393,1.4866759936121197
Continental Europe,2022,H_D,19.531183728300018,17,2.531183728300018,0.1406213182388899
Continental Europe,2022,H_A,2.0,3,-1.0,0.25
Continental Europe,2022,P_D,20.341544697892594,13,7.341544697892594,0.524396049849471
Continental Europe,2022,P_A,1.0,5,-4.0,0.6666666666666666
Sinic,2022,D,5.979729838670716,8,-2.020270161329284,0.22447446236992047
Sinic,2022,A,0.1507069881757491,1,-0.8492930118242509,0.42464650591212544
Sinic,2022,H_D,20.677985877474942,14,6.677985877474942,0.44519905849832947
Sinic,2022,H_A,1.5386654693039405,4,-2.4613345306960595,0.49226690613921187
Sinic,2022,P_D,14.527911826374654,12,2.5279118263746536,0.19445475587497335
Sinic,2022,P_A,0.0,1,-1.0,0.5
Japanese,2022,D,2.5665603382626108,4,-1.4334396617373892,0.28668793234747786
Japanese,2022,H_D,8.75878471806,7,1.7587847180599994,0.21984808975749992
Japanese,2022,H_A,0.8339156140823033,2,-1.1660843859176966,0.38869479530589884
Japanese,2022,P_D,11.37551285540482,7,4.3755128554048195,0.5469391069256024
Japanese,2022,P_A,0.0,1,-1.0,0.5
Hindu,2022,D,2.203016502858565,5,-2.796983497141435,0.46616391619023917
Hindu,2022,H_D,12.637537637042845,12,0.6375376370428452,0.04904135669560347
Hindu,2022,P_D,11.871654364899682,7,4.8716543648996815,0.6089567956124602
Hindu,2022,P_A,0.08779149519890266,2,-1.9122085048010973,0.6374028349336991
Islamic,2022,D,6.113354012153301,4,2.1133540121533008,0.42267080243066013
Islamic,2022,H_D,15.935509493911258,8,7.935509493911258,0.8817232771012509
Islamic,2022,P_D,0.0,4,-4.0,0.8
Islamic,2022,P_A,0.0,4,-4.0,0.8
Other Western,2022,D,0.5563753871868725,1,-0.4436246128131275,0.22181230640656374
Other Western,2022,H_D,16.051763616013854,10,6.051763616013854,0.5501603287285323
Other Western,2022,P_D,0.0,4,-4.0,0.8
Other Civilizations,2022,D,1.380927630219101,5,-3.6190723697808993,0.6031787282968165
Other Civilizations,2022,H_D,8.162189989031873,8,0.16218998903187298,0.01802110989243033
Other Civilizations,2022,H_A,0.25155663060570654,1,-0.7484433693942935,0.37422168469714673
Other Civilizations,2022,P_D,12.262673883621304,5,7.262673883621304,1.2104456472702172
United States,2023,D,0.14698826457001904,1,-0.853011735429981,0.4265058677149905
United States,2023,A,0.5196187893879266,2,-1.4803812106120735,0.4934604035373578
United States,2023,H_D,23.79559181848185,12,11.79559181848185,0.9073532168062961
United States,2023,H_A,2.3095057683413587,5,-2.6904942316586413,0.4484157052764402
United States,2023,P_D,15.136231572517218,14,1.136231572517218,0.07574877150114787
United States,2023,P_A,4.625930317111939,10,-5.374069682888061,0.4885517893534601
Anglosphere ex-US,2023,D,1.0515966423124374,2,-0.9484033576875626,0.3161344525625209
Anglosphere ex-US,2023,H_D,6.823549674147661,9,-2.176450325852339,0.21764503258523388
Anglosphere ex-US,2023,H_A,1.6639101477605627,3,-1.3360898522394373,0.33402246305985933
Anglosphere ex-US,2023,P_D,13.740238298924515,7,6.740238298924515,0.8425297873655644
Anglosphere ex-US,2023,P_A,6.179446771108439,5,1.1794467711084389,0.19657446185140648
Continental Europe,2023,D,1.1155373456778725,7,-5.884462654322127,0.7355578317902659
Continental Europe,2023,A,4.124775075672161,1,3.1247750756721606,1.5623875378360803
Continental Europe,2023,H_D,18.799221053963777,15,3.7992210539637767,0.23745131587273605
Continental Europe,2023,H_A,2.0,4,-2.0,0.4
Continental Europe,2023,P_D,21.365294899253243,13,8.365294899253243,0.5975210642323745
Continental Europe,2023,P_A,1.0,6,-5.0,0.7142857142857143
Sinic,2023,D,5.343804128449406,8,-2.656195871550594,0.29513287461673265
Sinic,2023,A,0.14540995091797626,1,-0.8545900490820237,0.42729502454101187
Sinic,2023,H_D,19.81845153632984,12,7.818451536329839,0.6014193489484492
Sinic,2023,H_A,1.4721056599758575,3,-1.5278943400241425,0.3819735850060356
Sinic,2023,P_D,16.407728724326923,15,1.4077287243269225,0.08798304527043266
Sinic,2023,P_A,0.0,1,-1.0,0.5
Japanese,2023,D,2.324512946239691,3,-0.675487053760309,0.16887176344007726
Japanese,2023,H_D,8.413650592661453,7,1.4136505926614529,0.1767063240826816
Japanese,2023,H_A,0.8339156140823033,2,-1.1660843859176966,0.38869479530589884
Japanese,2023,P_D,12.012963777395733,8,4.012963777395733,0.44588486415508144
Japanese,2023,P_A,0.0,1,-1.0,0.5
Hindu,2023,D,1.8096312556897935,4,-2.1903687443102067,0.4380737488620413
Hindu,2023,H_D,11.96898172182464,13,-1.0310182781753596,0.0736441627268114
Hindu,2023,P_D,13.096192692352957,7,6.0961926923529575,0.7620240865441197
Hindu,2023,P_A,0.05852766346593511,2,-1.941472336534065,0.647157445511355
Islamic,2023,D,6.174878886400146,4,2.174878886400146,0.4349757772800292
Islamic,2023,H_D,16.529792669976565,7,9.529792669976565,1.1912240837470707
Islamic,2023,P_D,0.0,7,-7.0,0.875
Islamic,2023,P_A,0.0,2,-2.0,0.6666666666666666
Other Western,2023,D,0.493943417883197,1,-0.506056582116803,0.2530282910584015
Other Western,2023,H_D,16.467038139806178,9,7.467038139806178,0.7467038139806178
Other Western,2023,P_D,0.0,5,-5.0,0.8333333333333334
Other Civilizations,2023,D,1.2395021954374281,4,-2.760497804562572,0.5520995609125144
Other Civilizations,2023,H_D,7.645827393822333,7,0.6458273938223327,0.08072842422779158
Other Civilizations,2023,H_A,0.2580241654610709,1,-0.7419758345389291,0.37098791726946456
Other Civilizations,2023,P_D,13.498879252857957,7,6.498879252857957,0.8123599066072447
