origin_group,year,from,to,count,stock,prob
Continental Europe,2013,A,P_A,1,2,0.2727272727272727
Continental Europe,2013,D,D,9,11,0.6551724137931034
Continental Europe,2013,D,H_D,2,11,0.1724137931034483
Continental Europe,2013,H_A,H_A,2,2,0.45454545454545453
Continental Europe,2013,H_D,H_D,20,22,0.803921568627451
Continental Europe,2013,H_D,P_D,2,22,0.09803921568627451
Continental Europe,2013,P_D,P_D,9,9,0.76
Continental Europe,2014,A,A,1,1,0.3333333333333333
Continental Europe,2014,D,D,9,9,0.76
Continental Europe,2014,H_A,H_A,2,2,0.45454545454545453
Continental Europe,2014,H_D,H_D,22,23,0.8490566037735849
Continental Europe,2014,H_D,P_D,1,23,0.05660377358490566
Continental Europe,2014,P_A,P_A,1,1,0.3333333333333333
Continental Europe,2014,P_D,P_D,11,11,0.7931034482758621
Continental Europe,2015,A,A,1,1,0.3333333333333333
Continental Europe,2015,D,D,9,9,0.76
Continental Europe,2015,H_A,H_A,2,2,0.45454545454545453
Continental Europe,2015,H_D,H_D,22,22,0.8823529411764706
Continental Europe,2015,P_A,P_A,1,1,0.3333333333333333
Continental Europe,2015,P_D,P_D,12,12,0.8064516129032258
Continental Europe,2016,A,A,1,1,0.3333333333333333
Continental Europe,2016,D,D,10,10,0.7777777777777778
Continental Europe,2016,H_A,H_A,2,2,0.45454545454545453
Continental Europe,2016,H_D,H_D,20,22,0.803921568627451
Continental Europe,2016,H_D,P_D,2,22,0.09803921568627451
Continental Europe,2016,P_A,P_A,1,1,0.3333333333333333
Continental Europe,2016,P_D,P_D,11,12,0.7419354838709677
Continental Europe,2017,A,A,1,1,0.3333333333333333
Continental Europe,2017,D,D,10,10,0.7777777777777778
Continental Europe,2017,H_A,H_A,2,2,0.45454545454545453
Continental Europe,2017,H_D,H_A,1,20,0.06382978723404255
Continental Europe,2017,H_D,H_D,19,20,0.8297872340425532
Continental Europe,2017,P_A,P_A,1,1,0.3333333333333333
Continental Europe,2017,P_D,P_D,13,13,0.8181818181818182
Continental Europe,2018,A,A,1,1,0.3333333333333333
Continental Europe,2018,D,D,7,10,0.5555555555555556
Continental Europe,2018,D,H_A,1,10,0.1111111111111111
Continental Europe,2018,D,H_D,2,10,0.18518518518518517
Continental Europe,2018,H_A,H_A,3,3,0.5384615384615384
